A1;A2;A3;court branch;ECLI
2;2;2;CHAMBER;ECLI:CE:ECHR:1979:0613JUD000683374
1;0;0;CHAMBER;ECLI:CE:ECHR:1982:0225JUD000751176
2;2;2;CHAMBER;ECLI:CE:ECHR:1982:0923JUD000715175
0;1;2;CHAMBER;ECLI:CE:ECHR:1983:1123JUD000891980
2;2;2;CHAMBER;ECLI:CE:ECHR:1986:0221JUD000879379
2;2;2;CHAMBER;ECLI:CE:ECHR:1986:0708JUD000900680
0;0;0;CHAMBER;ECLI:CE:ECHR:2009:0428JUD003888605
1;0;1;CHAMBER;ECLI:CE:ECHR:1986:1024JUD000911880
0;0;0;CHAMBER;ECLI:CE:ECHR:1987:0302JUD000926781
0;0;0;CHAMBER;ECLI:CE:ECHR:1989:1025JUD001084284
0;2;1;CHAMBER;ECLI:CE:ECHR:1989:1219JUD001052283
0;0;0;CHAMBER;ECLI:CE:ECHR:1990:0221JUD001185585
0;2;1;CHAMBER;ECLI:CE:ECHR:1991:0218JUD001203386
0;0;0;CHAMBER;ECLI:CE:ECHR:1991:0219JUD001149185
0;0;0;CHAMBER;ECLI:CE:ECHR:1993:0210JUD001149185
1;2;2;CHAMBER;ECLI:CE:ECHR:1991:1129JUD001274287
1;2;2;CHAMBER;ECLI:CE:ECHR:1993:0624JUD001455689
0;0;0;CHAMBER;ECLI:CE:ECHR:1994:0222JUD001295487
0;1;2;CHAMBER;ECLI:CE:ECHR:1994:0922JUD001361688
2;2;2;CHAMBER;ECLI:CE:ECHR:1994:1209JUD001309287
0;2;2;CHAMBER;ECLI:CE:ECHR:1994:1209JUD001342787
0;0;0;CHAMBER;ECLI:CE:ECHR:1995:0505JUD001846591
0;0;1;CHAMBER;ECLI:CE:ECHR:1995:0928JUD001286887
0;0;1;CHAMBER;ECLI:CE:ECHR:1995:0928JUD001913391
0;0;1;CHAMBER;ECLI:CE:ECHR:1995:1024JUD001480789
0;0;2;CHAMBER;ECLI:CE:ECHR:1995:1120JUD001784991
0;0;2;CHAMBER;ECLI:CE:ECHR:1997:0703JUD001784991
0;0;0;CHAMBER;ECLI:CE:ECHR:1996:0916JUD001737190
1;0;2;GRANDCHAMBER;ECLI:CE:ECHR:1996:1218JUD001531889
1;0;1;CHAMBER;ECLI:CE:ECHR:1997:0221JUD002006092
0;0;0;CHAMBER;ECLI:CE:ECHR:1997:0701JUD001874791
0;1;0;GRANDCHAMBER;ECLI:CE:ECHR:1998:0130JUD001939292
0;1;0;CHAMBER;ECLI:CE:ECHR:1998:0424JUD002318494
1;0;0;CHAMBER;ECLI:CE:ECHR:1998:0522JUD002705395
0;2;0;CHAMBER;ECLI:CE:ECHR:1998:0923JUD001963992
1;0;0;GRANDCHAMBER;ECLI:CE:ECHR:1999:0218JUD002483394
0;1;0;GRANDCHAMBER;ECLI:CE:ECHR:1999:0218JUD002951595
0;2;2;GRANDCHAMBER;ECLI:CE:ECHR:1999:0325JUD003110796
0;0;2;GRANDCHAMBER;ECLI:CE:ECHR:1999:0325JUD003142396
2;2;2;GRANDCHAMBER;ECLI:CE:ECHR:1999:0429JUD002508894
0;2;2;GRANDCHAMBER;ECLI:CE:ECHR:1999:0728JUD002277493
0;2;0;GRANDCHAMBER;ECLI:CE:ECHR:1999:1028JUD002834295
2;2;2;GRANDCHAMBER;ECLI:CE:ECHR:2000:0105JUD003320296
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2000:0406JUD002677295
0;0;0;CHAMBER;ECLI:CE:ECHR:2000:0530JUD002463894
0;0;0;CHAMBER;ECLI:CE:ECHR:2000:0530JUD003152496
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2000:0713JUD003922198
0;0;0;CHAMBER;ECLI:CE:ECHR:2000:1019JUD003122796
1;2;2;GRANDCHAMBER;ECLI:CE:ECHR:2002:0528JUD003320296
0;1;0;GRANDCHAMBER;ECLI:CE:ECHR:2000:1026JUD003098596
2;2;2;GRANDCHAMBER;ECLI:CE:ECHR:2000:1123JUD002570194
0;0;0;CHAMBER;ECLI:CE:ECHR:2000:1130JUD001591989
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2001:0118JUD002723895
0;0;0;CHAMBER;ECLI:CE:ECHR:2001:0301JUD004362298
0;0;0;CHAMBER;ECLI:CE:ECHR:2001:0405JUD003325396
2;1;0;GRANDCHAMBER;ECLI:CE:ECHR:2001:0510JUD002578194
0;0;0;CHAMBER;ECLI:CE:ECHR:2001:0522JUD003359296
0;0;0;CHAMBER;ECLI:CE:ECHR:2001:0531JUD002967196
0;0;0;CHAMBER;ECLI:CE:ECHR:2001:0619JUD003404996
0;0;0;CHAMBER;ECLI:CE:ECHR:2006:0713JUD007446301
1;0;0;CHAMBER;ECLI:CE:ECHR:2001:0705JUD004108798
2;1;0;GRANDCHAMBER;ECLI:CE:ECHR:2001:0712JUD004252798
0;0;0;CHAMBER;ECLI:CE:ECHR:2002:0221JUD002342394
0;2;0;CHAMBER;ECLI:CE:ECHR:2009:0623JUD002810603
0;0;0;CHAMBER;ECLI:CE:ECHR:2002:0409JUD004672699
0;2;1;CHAMBER;ECLI:CE:ECHR:2002:0416JUD003667797
0;1;1;CHAMBER;ECLI:CE:ECHR:2002:0507JUD005949800
0;0;2;CHAMBER;ECLI:CE:ECHR:2002:0521JUD002885695
1;0;0;CHAMBER;ECLI:CE:ECHR:2002:0611JUD003604297
0;0;0;CHAMBER;ECLI:CE:ECHR:2001:0111JUD002146393
0;0;0;CHAMBER;ECLI:CE:ECHR:2002:1105JUD003654897
0;0;0;CHAMBER;ECLI:CE:ECHR:2002:1112JUD004612999
0;0;0;CHAMBER;ECLI:CE:ECHR:2003:0306JUD004151098
0;0;0;CHAMBER;ECLI:CE:ECHR:2003:0617JUD003464797
1;2;2;CHAMBER;ECLI:CE:ECHR:2003:0624JUD004427798
0;0;0;CHAMBER;ECLI:CE:ECHR:2003:0717JUD003219096
0;0;0;CHAMBER;ECLI:CE:ECHR:2003:0717JUD005629800
0;0;0;CHAMBER;ECLI:CE:ECHR:2003:0724JUD002697395
