Correlation,Centrality,Ground Truth
0.6758421464460846,degree_centrality,importance
0.4622072597252832,degree_centrality,doctypebranch
0.5106619376798411,in_degree_centrality,importance
0.295910375263407,in_degree_centrality,doctypebranch
0.6301977691726413,out_degree_centrality,importance
0.41443961777834604,out_degree_centrality,doctypebranch
0.6055050169870354,betweenness_centrality,importance
0.2826352610966074,betweenness_centrality,doctypebranch
0.5038826749856818,closeness_centrality,importance
0.290849035074307,closeness_centrality,doctypebranch
0.6700235291930804,core_number,importance
0.45995996288097796,core_number,doctypebranch
0.5106619376798411,relative_in_degree_centrality,importance
0.295910375263407,relative_in_degree_centrality,doctypebranch
0.5007947228145542,eigenvector_centrality,importance
0.2883775097840295,eigenvector_centrality,doctypebranch
0.5057817116609985,pagerank,importance
0.29773115178630116,pagerank,doctypebranch
0.5715072556776252,hits_hub,importance
0.39759282396707196,hits_hub,doctypebranch
0.3988407574564718,hits_authority,importance
0.2216927781768358,hits_authority,doctypebranch
0.5040946260941437,harmonic_centrality,importance
0.2909581885979241,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
-0.6758421464460846,composite,importance
-0.4622072597252832,composite,doctypebranch
